opengauss,UPDATE Operation Duration,DELETE Operation Duration,,postgres,UPDATE Operation Duration,DELETE Operation Duration
,3.105316,0.129364,,,1.596563,0.06544
,3.551659,0.348598,,,2.14952,0.066574
,3.524617,0.412924,,,2.215008,0.065538
,3.927983,0.371847,,,2.277074,0.103702
,4.258932,0.265402,,,2.124946,0.097389
,4.202194,0.345595,,,2.49997,0.134271
,4.297078,0.471004,,,3.493015,0.148004
,3.94928,0.363444,,,2.870567,0.278882
,4.319723,0.330684,,,3.193673,0.219556
,4.322292,0.394895,,,2.70322,0.198941
,4.469608,0.649284,,,2.667977,0.432949
,4.177168,0.728595,,,2.566228,0.468688
,4.240142,0.855425,,,2.814681,0.487761
,5.155844,0.944257,,,3.013833,0.516016
,4.109183,0.817043,,,2.821225,0.57918
,5.048348,0.846472,,,2.840251,0.588937
,,,,,2.213131,0.665421
,4.166210438,0.517177063,,,3.040824,0.643148
,,,,,3.006824,0.640411
,,,,,,
,,,,,2.637291053,0.336884632
